cell_no,calibration_group
5001,5000
5002,5000
5003,5000
5004,5004
5005,5005
5011,5010
5012,5010
5013,5010
5014,5014
5015,5015
5021,5020
5022,5020
5023,5020
5024,5024
5025,5025
5031,5030
5032,5030
5033,5030
5034,5034
5035,5035
5041,5040
5042,5040
5043,5040
5044,5044
5045,5045
5051,5051
5052,5052
5053,5053
5054,5054
5055,5055
5061,5060
5062,5060
5063,5060
5064,5064
5065,5065
5071,5070
5072,5070
5073,5070
5074,5074
5075,5075
5081,5081
5082,5082
5083,5083
5084,5084
5085,5085
5091,5090
5092,5090
5093,5090
5094,5094
5095,5095
5101,5100
5102,5100
5103,5100
5104,5104
5105,5105
5111,5110
5112,5110
5113,5110
5114,5114
5115,5115
5121,5120
5122,5120
5123,5120
5124,5124
5125,5125
5131,5131
5132,5132
5133,5133
5134,5134
5135,5135
5141,5141
5142,5142
5143,5143
5144,5144
5145,5145
5151,5150
5152,5150
5153,5150
5154,5154
5155,5155
5161,5160
5162,5160
5163,5160
5164,5164
5165,5165
5171,5171
5172,5172
5173,5173
5174,5174
5175,5175
5181,5180
5182,5180
5183,5180
5184,5184
5185,5185
5191,5191
5192,5192
5193,5193
5194,5194
5195,5195
5201,5200
5202,5200
5203,5200
5204,5204
5205,5205
5211,5210
5212,5210
5213,5210
5214,5214
5215,5215
5221,5221
5222,5222
5223,5223
5224,5224
5225,5225
5231,5230
5232,5230
5233,5230
5234,5234
5235,5235
5241,5240
5242,5240
5243,5240
5244,5244
5245,5245
5251,5250
5252,5250
5253,5250
5254,5254
5255,5255
5261,5260
5262,5260
5263,5260
5264,5264
5265,5265
5271,5270
5272,5270
5273,5270
5274,5274
5275,5275
5281,5280
5282,5280
5283,5280
5284,5284
5285,5285
5291,5290
5292,5290
5293,5290
5294,5294
5295,5295
5301,5300
5302,5300
5303,5300
5304,5304
5305,5305
5311,5310
5312,5310
5313,5310
5314,5314
5315,5315
5321,5320
5322,5320
5323,5320
5324,5324
5325,5325
5331,5330
5332,5330
5333,5330
5334,5334
5335,5335
5341,5340
5342,5340
5343,5340
5344,5344
5345,5345
5351,5350
5352,5350
5353,5350
5354,5354
5355,5355
5361,5361
5362,5362
5363,5363
5364,5364
5365,5365
5371,5371
5372,5372
5373,5373
5374,5374
5375,5375
5381,5380
5382,5380
5383,5380
5384,5384
5385,5385
5391,5390
5392,5390
5393,5390
5394,5394
5395,5395
5401,5400
5402,5400
5403,5400
5404,5404
5405,5405
5411,5411
5412,5412
5413,5413
5414,5414
5415,5415
5421,5420
5422,5420
5423,5420
5424,5424
5425,5425
5431,5430
5432,5430
5433,5430
5434,5434
5435,5435
5441,5440
5442,5440
5443,5440
5444,5444
5445,5445
5451,5450
5452,5450
5453,5450
5454,5454
5455,5455
5461,5460
5462,5460
5463,5460
5464,5464
5465,5465
5471,5470
5472,5470
5473,5470
5474,5474
5475,5475
5481,5480
5482,5480
5483,5480
5484,5484
5485,5485
5491,5490
5492,5490
5493,5490
5494,5494
5495,5495
5501,5500
5502,5500
5503,5500
5504,5504
5505,5505
5511,5510
5512,5510
5513,5510
5514,5514
5515,5515
5521,5520
5522,5520
5523,5520
5524,5524
5525,5525
5531,5530
5532,5530
5533,5530
5534,5534
5535,5535
5541,5540
5542,5540
5543,5540
5544,5544
5545,5545
5551,5550
5552,5550
5553,5550
5554,5554
5555,5555
5561,5561
5562,5562
5563,5563
5564,5564
5565,5565
5571,5570
5572,5570
5573,5570
5574,5574
5575,5575
5581,5580
5582,5580
5583,5580
5584,5584
5585,5585
5591,5591
5592,5592
5593,5593
5594,5594
5595,5595
5601,5600
5602,5600
5603,5600
5604,5604
5605,5605
5611,5610
5612,5610
5613,5610
5614,5614
5615,5615
5621,5620
5622,5620
5623,5620
5624,5624
5625,5625
5631,5630
5632,5630
5633,5630
5634,5634
5635,5635
5641,5640
5642,5640
5643,5640
5644,5644
5645,5645
5651,5651
5652,5652
5653,5653
5654,5654
5655,5655
5661,5661
5662,5662
5663,5663
5664,5664
5665,5665
5671,5670
5672,5670
5673,5670
5674,5674
5675,5675
5681,5681
5682,5682
5683,5683
5684,5684
5685,5685
5691,5690
5692,5690
5693,5690
5694,5694
5695,5695
5701,5700
5702,5700
5703,5700
5704,5704
5705,5705
5711,5710
5712,5710
5713,5710
5714,5714
5715,5715
5721,5720
5722,5720
5723,5720
5724,5724
5725,5725
5731,5730
5732,5730
5733,5730
5734,5734
5735,5735
5741,5740
5742,5740
5743,5740
5744,5744
5745,5745
5751,5750
5752,5750
5753,5750
5754,5754
5755,5755
5761,5760
5762,5760
5763,5760
5764,5764
5765,5765
5771,5770
5772,5770
5773,5770
5774,5774
5775,5775
5781,5780
5782,5780
5783,5780
5784,5784
5785,5785
5791,5790
5792,5790
5793,5790
5794,5794
5795,5795
5801,5801
5802,5802
5803,5803
5804,5804
5805,5805
5811,5811
5812,5812
5813,5813
5814,5814
5815,5815
5821,5821
5822,5822
5823,5823
5824,5824
5825,5825
5831,5831
5832,5832
5833,5833
5834,5834
5835,5835
5841,5841
5842,5842
5843,5843
5844,5844
5845,5845
5851,5850
5852,5850
5853,5850
5854,5854
5855,5855
5861,5861
5862,5862
5863,5863
5864,5864
5865,5865
5871,5871
5872,5872
5873,5873
5874,5874
5875,5875
5881,5881
5882,5882
5883,5883
5884,5884
5885,5885
5891,5891
5892,5892
5893,5893
5894,5894
5895,5895
5901,5900
5902,5900
5903,5900
5904,5904
5905,5905
5911,5911
5912,5912
5913,5913
5914,5914
5915,5915
5921,5921
5922,5922
5923,5923
5924,5924
5925,5925
5931,5930
5932,5930
5933,5930
5934,5934
5935,5935
5941,5941
5942,5942
5943,5943
5944,5944
5945,5945
5961,5960
5962,5960
5963,5960
5964,5964
5965,5965
5981,5980
5982,5980
5983,5980
5984,5984
5985,5985
5991,5990
5992,5990
5993,5990
5994,5994
5995,5995
6001,6000
6002,6000
6003,6000
6004,6004
6005,6005
6011,6010
6012,6010
6013,6010
6014,6014
6015,6015
6021,6020
6022,6020
6023,6020
6024,6024
6025,6025
6031,6030
6032,6030
6033,6030
6034,6034
6035,6035
6041,6040
6042,6040
6043,6040
6044,6044
6045,6045
6051,6051
6052,6052
6053,6053
6054,6054
6055,6055
6061,6060
6062,6060
6063,6060
6064,6064
6065,6065
6071,6070
6072,6070
6073,6070
6074,6074
6075,6075
6081,6080
6082,6080
6083,6080
6084,6084
6085,6085
6091,6091
6092,6092
6093,6093
6094,6094
6095,6095
6101,6101
6102,6102
6103,6103
6104,6104
6105,6105
6111,6111
6112,6112
6113,6113
6114,6114
6115,6115
6121,6121
6122,6122
6123,6123
6124,6124
6125,6125
6131,6131
6132,6132
6133,6133
6134,6134
6135,6135
6141,6140
6142,6140
6143,6140
6144,6144
6145,6145
6151,6151
6152,6152
6153,6153
6154,6154
6155,6155
6161,6161
6162,6162
6163,6163
6164,6164
6165,6165
6181,6181
6182,6182
6183,6183
6184,6184
6185,6185
6191,6191
6192,6192
6193,6193
6194,6194
6195,6195
6201,6201
6202,6202
6203,6203
6204,6204
6205,6205
6211,6211
6212,6212
6213,6213
6214,6214
6215,6215
6221,6220
6222,6220
6223,6220
6224,6224
6225,6225
6231,6231
6232,6232
6233,6233
6234,6234
6235,6235
6241,6241
6242,6242
6243,6243
6244,6244
6245,6245
6251,6251
6252,6252
6253,6253
6254,6254
6255,6255
6261,6260
6262,6260
6263,6260
6264,6264
6265,6265
6271,6271
6272,6272
6273,6273
6274,6274
6275,6275
6281,6281
6282,6282
6283,6283
6284,6284
6285,6285
6291,6290
6292,6290
6293,6290
6294,6294
6295,6295
6301,6301
6302,6302
6303,6303
6304,6304
6305,6305
6311,6310
6312,6310
6313,6310
6314,6314
6315,6315
6321,6321
6322,6322
6323,6323
6324,6324
6325,6325
6341,6340
6342,6340
6343,6340
6344,6344
6345,6345
6361,6361
6362,6362
6363,6363
6364,6364
6365,6365
6371,6371
6372,6372
6373,6373
6374,6374
6375,6375
6381,6380
6382,6380
6383,6380
6384,6384
6385,6385
6391,6391
6392,6392
6393,6393
6394,6394
6395,6395
6401,6401
6402,6402
6403,6403
6404,6404
6405,6405
6411,6411
6412,6412
6413,6413
6414,6414
6415,6415
6421,6421
6422,6422
6423,6423
6424,6424
6425,6425
6451,6451
6452,6452
6453,6453
6454,6454
6455,6455
6461,6461
6462,6462
6463,6463
6464,6464
6465,6465
6471,6470
6472,6470
6473,6470
6474,6474
6475,6475
6481,6480
6482,6480
6483,6480
6484,6484
6485,6485
6511,6511
6512,6512
6513,6513
6514,6514
6515,6515
6521,6520
6522,6520
6523,6520
6524,6524
6525,6525
6531,6531
6532,6532
6533,6533
6534,6534
6535,6535
6541,6540
6542,6540
6543,6540
6544,6544
6545,6545
8121,8121
8122,8122
8123,8123
8124,8124
8125,8125
